HIGHEST_NIBRS_DESCRIPTION,CLEARANCE_STATUS,DATE_REPORTED,CMPD_PATROL_DIVISION
Intimidation,Cleared by Arrest,2023-11-05,University City
Intimidation,Exceptionally Cleared,2022-04-15,Providence
Intimidation,Cleared by Arrest by Another Agency,2019-03-24,North
Simple Assault,Cleared by Arrest,2017-03-19,Metro
Simple Assault,Open,2017-11-29,University City
Simple Assault,Open,2022-09-01,Metro
Simple Assault,Exceptionally Cleared,2024-02-07,Independence
Intimidation,Open,2023-04-17,University City
Intimidation,Cleared by Arrest,2022-03-06,North Tryon
Intimidation,Cleared by Arrest,2020-09-24,Eastway
Simple Assault,Cleared by Arrest,2019-09-26,Central
Intimidation,Exceptionally Cleared,2020-04-24,North Tryon
Intimidation,Exceptionally Cleared,2023-05-07,University City
Intimidation,Exceptionally Cleared,2021-02-03,North Tryon
Simple Assault,Exceptionally Cleared,2022-03-02,Eastway
Intimidation,Open,2020-11-15,Hickory Grove
Simple Assault,Exceptionally Cleared,2021-10-10,Eastway
Simple Assault,Exceptionally Cleared,2020-03-26,Independence
Simple Assault,Cleared by Arrest,2018-01-08,Eastway
Simple Assault,Exceptionally Cleared,2022-10-28,Steele Creek
Simple Assault,Open,2023-07-19,North Tryon
Simple Assault,Open,2024-06-09,North Tryon
Intimidation,Exceptionally Cleared,2022-07-03,North Tryon
Simple Assault,Exceptionally Cleared,2021-09-04,Providence
Simple Assault,Open,2022-09-12,Metro
Simple Assault,Exceptionally Cleared,2017-09-24,University City
Intimidation,Open,2021-10-22,South
Simple Assault,Cleared by Arrest,2024-10-07,Freedom
Simple Assault,Open,2024-05-19,Providence
Simple Assault,Open,2022-08-11,Metro
Intimidation,Open,2018-02-01,Independence
Intimidation,Open,2023-08-26,Steele Creek
Simple Assault,Open,2020-08-07,North
Intimidation,Exceptionally Cleared,2020-11-22,Independence
Simple Assault,Cleared by Arrest,2021-09-04,Central
Simple Assault,Exceptionally Cleared,2018-07-23,Metro
Intimidation,Open,2018-05-07,Eastway
Simple Assault,Open,2019-12-09,Freedom
Intimidation,Exceptionally Cleared,2023-05-15,Hickory Grove
Simple Assault,Cleared by Arrest,2017-10-07,Westover
Intimidation,Open,2017-07-13,North
Simple Assault,Exceptionally Cleared,2018-06-29,Steele Creek
